time_s,cell_voltage_V,specific_capacity_mAh_g,average_positive_xNa,positive_desodiation_fraction,surface_positive_xNa,center_positive_xNa,surface_center_delta_xNa,maximum_von_mises_Pa,average_von_mises_Pa,stress_stddev_Pa,mass_balance_relative_error,negative_capacity_ratio,average_electrolyte_concentration_mol_m3,quantitative_ready
0.0,4.266112642309257,0.0,0.28256033945277953,0.8967995756840255,0.2821033206671207,0.28324591893333306,-0.0011425982662123801,964889.9383494061,518095.731569964,222630.66992488896,2.4058311117853263E-4,1.0168673850566228,1000.0235672040955,0.0
1.0,4.131152124226783,0.04861111111111112,0.2825901879852173,0.8967622650184783,0.2825302043988971,0.28295471775223097,-4.245133533338774E-4,327216.1503580089,181199.23181723023,42539.26640311337,2.4057310189875747E-4,1.0168673850566228,999.997441922953,0.0
2.0,4.130665989197079,0.09722222222222224,0.2826438645105334,0.8966951693618332,0.2826640712687166,0.2827796388789944,-1.1556761027775586E-4,158289.13859158824,46576.249190966824,28699.39904233188,2.405551022468525E-4,1.0168673850566228,999.9943020708728,0.0
3.0,4.130240582010866,0.14583333333333334,0.2827192229616229,0.8966009712979713,0.2827893144140432,0.28272018223759354,6.913217644965997E-5,143288.9835313682,49639.70185370559,34841.1141289249,2.4052983186958758E-4,1.0168673850566228,999.9919929037901,0.0
4.0,4.129802377487783,0.19444444444444448,0.2828119767939848,0.896485029007519,0.2829213424240786,0.28272012692894605,2.0121549513257841E-4,221569.4012363433,96255.25557201922,59905.85224307641,2.404987282017275E-4,1.0168673850566228,999.9898128994819,0.0
5.0,4.1293398439788955,0.24305555555555555,0.2829230539154401,0.8963461826056998,0.283066034404137,0.2827624443344995,3.035900696375382E-4,292019.85045229713,140720.52141221176,74446.18358425867,2.404614800786148E-4,1.0168673850566228,999.9876718182725,0.0
6.0,4.128848740185513,0.2916666666666667,0.2830523915857861,0.8961845105177674,0.2832260444609625,0.2828359956971135,3.9004876384901577E-4,358051.72640452953,178988.6223385504,88312.07380446549,2.4041810854460695E-4,1.0168673850566228,999.9855424969655,0.0
7.0,4.128322908542843,0.3402777777777778,0.2831998213522164,0.8960002233097294,0.2834026071797801,0.28293454093117304,4.680662486070686E-4,420220.9656995775,213872.89459732166,101932.01672726293,2.403686700872847E-4,1.0168673850566228,999.9834186173431,0.0
8.0,4.1277630193732255,0.38888888888888895,0.28336551166259666,0.8957931104217542,0.28359662118135004,0.28305500720402976,5.416139773202766E-4,480361.11962717003,246961.8446871285,115425.86040406027,2.4031310821366522E-4,1.0168673850566228,999.9812958805719,0.0
9.0,4.127178880271873,0.4375,0.2835419964259537,0.8955725044675579,0.2838010974399942,0.28318777353636865,6.133239036255622E-4,539668.6083869301,279312.46142017865,128868.70615471195,2.4025392657669968E-4,1.0168673850566228,999.9791747782463,0.0
10.0,4.1265653977559404,0.4861111111111111,0.2837367291540132,0.8953290885574835,0.28402353603357894,0.2833400897049866,6.83446328592352E-4,598260.9563085205,311025.625956848,142266.73222577092,2.401886257456336E-4,1.0168673850566228,999.9770538758864,0.0
11.0,4.126008446898814,0.5347222222222222,0.2839368407145184,0.8950789491068519,0.2842353156875675,0.28350968211931143,7.256335682560566E-4,626884.8246849151,330427.23070892825,147325.0570207949,2.4012152120240064E-4,1.0168673850566228,999.9764102747422,0.0
12.0,4.125478635266471,0.5833333333333334,0.2841383572806112,0.894827053399236,0.284440801208168,0.2836932331942036,7.47568013964417E-4,637843.5413917201,340034.3775385119,148352.8552878741,2.4005394550901416E-4,1.0168673850566228,999.9763827000455,0.0
13.0,4.124955959070989,0.6319444444444445,0.2843402152618159,0.89457473092273,0.2846443189331043,0.2838864506832739,7.57868249830429E-4,641881.605086955,344059.07013474236,148450.82649886163,2.3998625532667574E-4,1.0168673850566228,999.9764204906453,0.0
14.0,4.124435931705263,0.6805555555555556,0.2845421521131755,0.8943223098585307,0.28484688225007065,0.2840851982061508,7.616840439198524E-4,643244.2429811334,345411.12126918405,148450.29612750805,2.3991853869577214E-4,1.0168673850566228,999.976432828306,0.0
15.0,4.123916015866617,0.7291666666666667,0.28474410648034076,0.894069866899574,0.285048955597379,0.28428644604002945,7.625095573495222E-4,643534.832203097,345691.4140056041,148449.7982633853,2.3985081619082757E-4,1.0168673850566228,999.9764344654068,0.0
16.0,4.1234041777451615,0.7777777777777779,0.2849460610762575,0.8938174236546781,0.28525087767320656,0.2844884988961029,7.623787771036672E-4,643495.8301474582,345649.36125845555,148453.38566669324,2.397830936135548E-4,1.0168673850566228,999.9764329542402,0.0
17.0,4.122899409174157,0.826388888888889,0.28514801856627353,0.893564976792158,0.2854527994808782,0.28469067338056797,7.621261003102342E-4,643382.3385064292,345550.4222397179,148446.85837393458,2.397153700616519E-4,1.0168673850566228,999.9764340605091,0.0
18.0,4.122386883520929,0.875,0.2853499771372295,0.8933125285784632,0.2856547272377113,0.2848927828905111,7.619443472001719E-4,643298.1549126074,345476.5345116781,148440.17328963277,2.3964764614750776E-4,1.0168673850566228,999.9764345399251,0.0
19.0,4.121885427955778,0.9236111111111112,0.28555193606849855,0.8930600799143767,0.28585666765722917,0.2850948234106931,7.618442465360808E-4,643251.4795051469,345435.45672746364,148436.31001694102,2.395799221146673E-4,1.0168673850566228,999.9764344899559,0.0
20.0,4.1213867883562125,0.9722222222222222,0.2857538951198725,0.8928076311001594,0.28605861817036243,0.2852968200827927,7.617980875697095E-4,643230.2464074169,345416.6040365911,148434.6400233736,2.3951219804161115E-4,1.0168673850566228,999.9764344181881,0.0
